movie_id,title,genres,release_year,rating,popularity
912649,Venom: The Last Dance,"[28, 878, 12]",2024,6.596,12656.263
1241982,Moana 2,"[16, 12, 10751, 35]",2024,6.8,4485.032
1035048,Elevation,"[28, 878, 53]",2024,6.4,2554.883
974453,Absolution,"[28, 80, 53]",2024,6.05,1846.723
1299652,Watchmen: Chapter II,"[16, 9648, 878, 28]",2024,7.7,1439.232
1182387,Armor,"[28, 80, 53]",2024,5.6,1423.925
957119,Sidelined: The QB and Me,"[35, 10749, 10770]",2024,6.6,1338.291
558449,Gladiator II,"[28, 12, 36]",2024,6.7,1262.621
1147416,"Miraculous World, London: At the Edge of Time","[16, 12, 28, 14]",2024,8.6,1219.844
1184918,The Wild Robot,"[16, 28, 878, 10751]",2024,8.4,1147.165
402431,Wicked,"[18, 10749, 14]",2024,7.6,1084.787
1100782,Smile 2,"[27, 9648]",2024,6.581,970.057
1118031,Apocalypse Z: The Beginning of the End,"[18, 28, 27]",2024,6.86,958.51
1034541,Terrifier 3,"[27, 53]",2024,6.85,922.731
945961,Alien: Romulus,"[27, 878]",2024,7.2,917.605
933260,The Substance,"[27, 878]",2024,7.3,900.139
533535,Deadpool & Wolverine,"[28, 35, 878]",2024,7.668,893.759
845781,Red One,"[28, 35, 14]",2024,6.6,864.206
1252470,Sikandar Ka Muqaddar,"[53, 80, 9648, 28]",2024,5.4,799.859
791042,Levels,"[28, 878, 53]",2024,5.7,792.543
1022789,Inside Out 2,"[16, 12, 35, 18, 10751]",2024,7.6,740.187
1171640,GTMAX,"[28, 80, 18]",2024,6.1,731.033
698687,Transformers One,"[16, 878, 12, 10751]",2024,8.11,725.848
1357633,Solo Leveling -ReAwakening-,"[28, 12, 14, 16]",2024,7.9,676.182
519182,Despicable Me 4,"[16, 10751, 35, 28]",2024,7.079,658.26
995803,Arena Wars,"[28, 878, 53, 35, 27]",2024,5.4,632.149
539972,Kraven the Hunter,"[28, 12, 53]",2024,5.2,614.323
1326059,Pimpinero: Blood and Oil,"[28, 80, 18]",2024,7.2,608.426
1106739,Juror #2,"[80, 18]",2024,6.979,574.153
1124641,Classified,"[28, 53]",2024,5.849,549.868
1097870,Dear Santa,"[35, 14, 27]",2024,6.636,539.202
