movie_id,title,genres,release_year,rating,popularity
6522,Life,Comedy|Crime,1999,6.652,24.143
111969,Stuck in Love,Drama|Comedy,2013,7.391,24.141
1360610,The Menendez Brothers,Documentary|Crime,2024,7.494,24.139
405817,Young Mother: The Original,Drama|Romance,2016,6.0,24.137
106758,Angel Guts: Red Porno,Drama,1981,5.9,24.135
610253,Halloween Kills,Horror|Thriller,2021,6.447,24.132
1245399,Hola Frida!,Animation|Family|History,2024,6.0,24.123
11284,Freddy's Dead: The Final Nightmare,Horror|Thriller,1991,5.3,24.112
214,Saw III,Horror|Thriller|Crime,2006,6.411,24.108
1379284,Léto s Evženem,Comedy,2024,0.0,24.107
1259309,Commando Ninja 2: Invasion America,Action|Comedy,2024,0.0,24.107
449503,Kill 'em All,Action|Crime,2017,5.7,24.092
1163258,12th Fail,Drama,2023,8.0,24.082
656908,Ramayana: Part One,History|Drama|War,2026,0.0,24.079
11230,Drunken Master,Action|Comedy,1978,7.4,24.061
286532,A Merry Friggin' Christmas,Comedy,2014,5.325,24.06
798141,Doors,Science Fiction,2021,4.892,24.053
829410,Sick,Horror|Mystery|Thriller,2022,6.209,24.05
241239,A Most Violent Year,Crime|Drama|Thriller,2014,6.608,24.049
10957,The Black Cauldron,Animation|Adventure|Family|Fantasy,1985,6.4,24.046
455207,Crazy Rich Asians,Comedy|Romance,2018,7.1,25.917
4133,Blow,Crime|Drama,2001,7.365,21.161
271969,Ben-Hur,Action|History|Adventure|Drama,2016,5.739,21.414
956920,There's Something in the Barn,Horror|Comedy|Fantasy,2023,6.2,22.705
16664,All About Lily Chou-Chou,Drama|Crime,2001,7.3,26.658
12159,What Dreams May Come,Drama|Fantasy|Romance,1998,7.2,20.158
9571,Dazed and Confused,Comedy|Drama,1993,7.3,21.156
33196,Tidal Wave,Action|Drama|Thriller,2009,6.9,36.445
345330,Emmanuelle Through Time: Emmanuelle's Supernatural Sexual Activity,Comedy|Fantasy|Science Fiction,2012,5.2,24.178
8373,Transformers: Revenge of the Fallen,Science Fiction|Action|Adventure,2009,6.2,30.497
345009,Mine,War|Thriller,2016,6.6,20.407
12085,Mad Money,Action|Comedy|Crime,2008,6.5,18.153
11007,Cheaper by the Dozen,Comedy|Family,2003,6.3,24.652
26973,Pretty Baby,Drama,1978,7.0,32.149
460790,Starship Troopers: Traitor of Mars,Action|Animation|Science Fiction,2017,5.9,16.924
1093994,One Ranger,Action|Thriller,2023,6.301,15.594
37710,The Tourist,Action|Thriller|Romance,2010,6.184,35.399
333352,Eye in the Sky,Drama|Thriller|War,2015,7.0,16.15
398173,The House That Jack Built,Drama|Horror|Crime|Thriller,2018,7.1,27.402
121986,Frances Ha,Comedy|Drama,2013,7.4,15.648
235271,Addicted,Drama|Thriller,2014,5.912,23.939
522444,Black Water: Abyss,Horror|Action|Adventure,2020,5.2,23.934
10320,The Ring Two,Drama|Horror|Thriller,2005,5.74,23.934
1392549,Juf Braaksel en de geniale ontsnapping,,2024,0.0,23.933
1016084,BlackBerry,Comedy,2023,7.159,23.933
262391,Serial (Bad) Weddings,Comedy,2014,6.674,23.927
11808,U.S. Marshals,Thriller|Crime|Action,1998,6.519,23.927
10057,The Three Musketeers,Action|Adventure|Comedy,1993,6.4,23.927
588399,Spring Breakaway,Family,2019,6.5,23.925
4771,Gone Baby Gone,Crime|Drama|Mystery,2007,7.3,23.919
1258626,Face Off 7: One Wish,Family|Drama,2024,8.0,23.909
2140,Kiss of the Dragon,Action|Crime|Thriller,2001,6.9,23.909
4584,Sense and Sensibility,Drama|Romance,1995,7.4,23.908
477776,Code Geass: Lelouch of the Rebellion – Initiation,Science Fiction|Animation|Drama|Action,2017,7.2,23.907
853033,Adultery Alumni Association 2,Drama|Romance,2019,4.4,23.905
556984,The Trial of the Chicago 7,Drama|History,2020,7.7,23.905
83088,Saint Seiya: Warriors of the Final Holy Battle,Action|Animation|Fantasy,1989,7.3,23.904
10529,Outlander,Science Fiction|Action,2008,6.442,23.904
661950,Alone,Horror|Thriller,2020,5.8,23.903
98008,Attraction,Drama|Comedy,1969,5.0,23.902
604822,Vanguard,Comedy|Thriller|Action|Adventure,2020,6.319,23.891
1393101,Enjambre: Noches De Salón,,2024,0.0,23.89
843846,Butcher's Crossing,Western|Drama,2023,6.0,23.887
798362,The Marsh King's Daughter,Thriller|Crime|Drama|Mystery,2023,6.417,23.883
133805,Carrie,Drama|Horror,2013,6.0,23.883
10015,Heartbreak Ridge,War|Drama,1986,6.866,23.878
799168,Sexxx,Documentary,2015,10.0,23.876
9972,Lock Up,Action|Crime,1989,6.811,23.872
51608,The Man from Nowhere,Action|Thriller|Crime,2010,7.697,23.871
11474,The Warriors,Action|Thriller,1979,7.7,23.868
11023,Thirteen,Drama,2003,6.628,23.858
10877,Exit Wounds,Action|Crime|Thriller,2001,5.763,23.851
66195,The Perfect Host,Comedy|Thriller|Crime,2010,6.356,23.849
487047,A Witches' Ball,Family|Fantasy|Science Fiction,2017,6.3,23.841
25676,Robin-B-Hood,Drama|Action|Comedy,2006,6.943,23.839
805411,Descendants: The Royal Wedding,Animation|Family|Comedy|Drama,2021,6.7,23.832
300665,Leatherface,Horror|Thriller,2017,5.6,23.83
64689,Killing Them Softly,Crime|Thriller,2012,6.027,23.83
859,Dangerous Liaisons,Drama|Romance,1988,7.2,23.828
44048,Unstoppable,Action|Thriller,2010,6.582,23.826
1705,Battle for the Planet of the Apes,Action|Science Fiction,1973,5.712,26.369
501170,Doctor Sleep,Horror|Thriller|Fantasy,2019,7.1,28.378
21519,Project A,Comedy|Action|Adventure,1983,7.2,16.618
584586,0.0MHz,Horror,2019,4.9,20.146
1054116,My Hero Academia: All Might Rising,Animation|Action,2019,6.2,19.616
280276,Turtle Power: The Definitive History of the Teenage Mutant Ninja Turtles,Documentary,2014,7.4,15.467
10861,Maximum Risk,Action|Thriller,1996,5.7,15.465
10537,The Doors,Music|Drama|History,1991,7.132,20.866
3573,Emma,Romance|Comedy|Drama,1996,6.7,15.461
931599,Silip Sa Apoy,Drama|Thriller,2022,5.8,25.069
376290,Miss Sloane,Drama|Crime,2016,7.4,17.368
10843,After Hours,Comedy|Thriller|Drama,1985,7.5,20.363
373546,Chuck,Drama,2017,6.267,15.448
426,Vertigo,Mystery|Romance|Thriller,1958,8.2,26.113
867,Sliver,Drama|Thriller,1993,5.5,33.861
1079244,Bonhoeffer: Pastor. Spy. Assassin.,Drama|History|War,2024,6.2,18.79
27584,High School,Comedy,2010,5.7,15.442
734265,Love Hard,Comedy|Romance,2021,6.957,18.626
11069,Tremors 2: Aftershocks,Action|Horror|Comedy,1996,6.2,28.86
10027,Unleashed,Action|Crime,2005,6.927,18.361
969686,4 Horsemen: Apocalypse,Science Fiction|Horror,2022,6.031,21.378
